name of the station;ID-number of the station;ETRS-coordinates east;ETRS-coordinates north;max depth of the station;date;sampling depth;Faecal enterococci (kpl/100ml);Oxygen saturation (kyll.%);Dissolved oxygen (mg/l);Suspended solids, coarse (mg/l);Chlorophyll a (µg/l);Total phosphorous, unfiltered (µg/l);Total nitrogen, unfiltered (µg/l);Coliform bacteria thermotolerant (kpl/100ml);Temperature (°C);Nitrate as nitrogen, unfiltered (µg/l);Nitrate as nitrogen, unfiltered (µg/l);Nitrite nitrate as nitrogen, unfiltered (µg/l);Secchi depth (m);pH  ;Salinity (‰);Turbidity (FNU);Conductivity (mS/m)
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1983 8:00;1,0;0;104;10.5;;;;500;0;13.7;;;;;7.3;4.1;2.3;640
Et kaup selkä 1;5520;227911;7005357;2.4;12.7.1983 13:00;0,0-1,5;;;;;1.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.7.1983 13:00;1,0;0;107;9;;;;340;0;22.6;;;;;7.5;4.2;1.4;720
Et kaup selkä 1;5520;227911;7005357;2.4;17.8.1983 8:00;;;;;;;;;;;;;;2.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.8.1983 8:00;0,0-2,0;;;;;7.9;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.8.1983 8:00;1,0;16;115;11.4;;;12;280;30;14.3;;;;;7.8;4.8;1.9;760
Et kaup selkä 1;5520;227911;7005357;2.4;3.10.1983 8:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.10.1983 8:00;1,0;2;96;12;;;;560;5;4.6;;;;;6.8;4.5;8.9;780
Et kaup selkä 1;5520;227911;7005357;2.4;24.1.1984 11:00;;;;;;;;;;;;;;1.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;24.1.1984 11:00;0,5;;48;7;;;14;3000;;;;;;;4.9;1.8;3.3;355
